,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_living15,sqft_lot15,grade_num,bed_bath_ratio,mean_price,id,zip_city,Waterfront
0,221900.0,3.0,1.0,1180.0,5650.0,1.0,1180.0,1340.0,5650.0,7.0,3.0,540296.5735055795,7129300520,1,0
1,538000.0,3.0,2.25,2570.0,7242.0,2.0,2170.0,1690.0,7639.0,7.0,1.3333333333333333,540296.5735055795,6414100192,1,0
2,180000.0,2.0,1.0,770.0,10000.0,1.0,770.0,2720.0,8062.0,6.0,2.0,540296.5735055795,5631500400,0,0
3,604000.0,4.0,3.0,1960.0,5000.0,1.0,1050.0,1360.0,5000.0,7.0,1.3333333333333333,540296.5735055795,2487200875,1,0
4,510000.0,3.0,2.0,1680.0,8080.0,1.0,1680.0,1800.0,7503.0,8.0,1.5,540296.5735055795,1954400510,0,0
6,257500.0,3.0,2.25,1715.0,6819.0,2.0,1715.0,2238.0,6819.0,7.0,1.3333333333333333,540296.5735055795,1321400060,0,0
7,291850.0,3.0,1.5,1060.0,9711.0,1.0,1060.0,1650.0,9711.0,7.0,2.0,540296.5735055795,2008000270,0,0
8,229500.0,3.0,1.0,1780.0,7470.0,1.0,1050.0,1780.0,8113.0,7.0,3.0,540296.5735055795,2414600126,1,0
9,323000.0,3.0,2.5,1890.0,6560.0,2.0,1890.0,2390.0,7570.0,7.0,1.2,540296.5735055795,3793500160,0,0
10,662500.0,3.0,2.5,3560.0,9796.0,1.0,1860.0,2210.0,8925.0,8.0,1.2,540296.5735055795,1736800520,0,0
11,468000.0,2.0,1.0,1160.0,6000.0,1.0,860.0,1330.0,6000.0,7.0,2.0,540296.5735055795,9212900260,0,0
12,310000.0,3.0,1.0,1430.0,19901.0,1.5,1430.0,1780.0,12697.0,7.0,3.0,540296.5735055795,114101516,0,0
13,400000.0,3.0,1.75,1370.0,9680.0,1.0,1370.0,1370.0,10208.0,7.0,1.7142857142857142,540296.5735055795,6054650070,0,0
14,530000.0,5.0,2.0,1810.0,4850.0,1.5,1810.0,1360.0,4850.0,7.0,2.5,540296.5735055795,1175000570,1,0
15,650000.0,4.0,3.0,2950.0,5000.0,2.0,1980.0,2140.0,4000.0,9.0,1.3333333333333333,540296.5735055795,9297300055,1,0
16,395000.0,3.0,2.0,1890.0,14040.0,2.0,1890.0,1890.0,14018.0,7.0,1.5,540296.5735055795,1875500060,0,0
18,189000.0,2.0,1.0,1200.0,9850.0,1.0,1200.0,1060.0,5095.0,7.0,2.0,540296.5735055795,16000397,0,0
19,230000.0,3.0,1.0,1250.0,9774.0,1.0,1250.0,1280.0,8850.0,7.0,3.0,540296.5735055795,7983200060,0,0
20,385000.0,4.0,1.75,1620.0,4980.0,1.0,860.0,1400.0,4980.0,7.0,2.2857142857142856,540296.5735055795,6300500875,1,0
22,285000.0,5.0,2.5,2270.0,6300.0,2.0,2270.0,2240.0,7005.0,8.0,2.0,540296.5735055795,7137970340,0,0
23,252700.0,2.0,1.5,1070.0,9643.0,1.0,1070.0,1220.0,8386.0,7.0,1.3333333333333333,540296.5735055795,8091400200,0,0
24,329000.0,3.0,2.25,2450.0,6500.0,2.0,2450.0,2200.0,6865.0,8.0,1.3333333333333333,540296.5735055795,3814700200,0,0
25,233000.0,3.0,2.0,1710.0,4697.0,1.5,1710.0,1030.0,4705.0,6.0,1.5,540296.5735055795,1202000200,0,0
26,937000.0,3.0,1.75,2450.0,2691.0,2.0,1750.0,1760.0,3573.0,8.0,1.7142857142857142,540296.5735055795,1794500383,1,0
27,667000.0,3.0,1.0,1400.0,1581.0,1.5,1400.0,1860.0,3861.0,8.0,3.0,540296.5735055795,3303700376,1,0
28,438000.0,3.0,1.75,1520.0,6380.0,1.0,790.0,1520.0,6235.0,7.0,1.7142857142857142,540296.5735055795,5101402488,0,0
29,719000.0,4.0,2.5,2570.0,7173.0,2.0,2570.0,2630.0,6026.0,8.0,1.6,540296.5735055795,1873100390,0,0
30,580500.0,3.0,2.5,2320.0,3980.0,2.0,2320.0,2580.0,3980.0,8.0,1.2,540296.5735055795,8562750320,0,0
31,280000.0,2.0,1.5,1190.0,1265.0,3.0,1190.0,1390.0,1756.0,7.0,1.3333333333333333,540296.5735055795,2426039314,1,0
32,687500.0,4.0,1.75,2330.0,5000.0,1.5,1510.0,1460.0,5000.0,7.0,2.2857142857142856,540296.5735055795,461000390,1,0
33,535000.0,3.0,1.0,1090.0,3000.0,1.5,1090.0,1570.0,5080.0,8.0,3.0,540296.5735055795,7589200193,1,0
34,322500.0,4.0,2.75,2060.0,6659.0,1.0,1280.0,2020.0,8720.0,7.0,1.4545454545454546,540296.5735055795,7955080270,0,0
35,696000.0,3.0,2.5,2300.0,3060.0,1.5,1510.0,1590.0,3264.0,8.0,1.2,540296.5735055795,9547205180,0,0
37,640000.0,4.0,2.0,2360.0,6000.0,2.0,2360.0,1730.0,4700.0,8.0,2.0,540296.5735055795,2768000400,1,0
39,605000.0,4.0,2.5,2620.0,7553.0,2.0,2620.0,2620.0,11884.0,8.0,1.6,540296.5735055795,2078500320,0,0
40,625000.0,4.0,2.5,2570.0,5520.0,2.0,2570.0,2470.0,5669.0,9.0,1.6,540296.5735055795,5547700270,0,0
41,775000.0,4.0,2.25,4220.0,24186.0,1.0,2600.0,2410.0,30617.0,8.0,1.7777777777777777,540296.5735055795,7766200013,0,0
42,861990.0,5.0,2.75,3595.0,5639.0,2.0,3595.0,3625.0,5639.0,9.0,1.8181818181818181,540296.5735055795,7203220400,0,0
